id,constant,position,translate,
233,formsText.labelName,Введите ваше имя,Имя *,Prénom *
234,formsText.placeholderName,Введите ваше имя (placeholder),Введите имя,Entrez votre nom
235,formsText.labelLastName,Введите вашу фамилию,Фамилия *,Nom de famille *
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Введите фамилию,entrez le nom
237,formsText.labelMail,E-mail,E-mail *,E-mail *
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Введитe E-mail,Vvedite E-mail
239,formsText.labelPassword,Введите пароль,Пароль *,le mot de passe *
240,formsText.placeholderPassword,Введите пароль (placeholder),Введите пароль,Entrer le mot de passe
241,formsText.labelConfirmPassword,Подтвердите пароль,Подтвердите пароль *,Confirmez le mot de passe *
242,formsText.labelPhone,Поле для ввода номера телефона,Телефон *,Téléphone *
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Введите телефон,entrer dans le téléphone
244,formsText.labelCountry,Выберите страну,Страна ,Le pays
245,formsText.placeholderCountry,Выберите страну (placeholder),Выберите страну,Choisissez le pays
246,formsText.labelLanguage,Выберите язык,Язык,Langue
247,formsText.placeholderLanguage,Выберите язык (placeholder),Выберите язык,Choisissez la langue
248,formsText.labelTime,Удобное время для звонка,Удобное время,L'heure qui convient
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Время для звонка,pour le moment de l'appel
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Код авторизации *,Code d'autorisation *
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Введите код,Entrez un code
252,formsText.labelPromo,Введите промокод,Промокод,Le code promotionnel
253,formsText.placeholderPromo,Введите промокод (placeholder),Введите промокод,entrez le code promotionnel
8.3. Дополнительный текст,,,,#VALUE!
254,formsText.text_required,* - обязательные поля,* - обязательное поле,* - required field
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Для пароля разрешены только латинские буквы, цифры и символы. Пароль должен содержать как минимум одну заглавную букву, одну строчную букву и одну цифру.","Password only letters, numbers and symbols. The password must contain at least one uppercase letter, one lowercase letter and one number."
256,formsText.checkboxText,Обработка персональных данных (чекбокс),Я согласен на обработку персональных данных,I agree to the processing of personal data
8.4. Уведомления,,,,#VALUE!
257,formsText.titleSuccess,Спасибо за отправку сообщения (заголовок),Спасибо за отправку сообщения,Thank you for sending a message
258,formsText.textSuccess,Спасибо за отправку сообщения текст (подзаголовок),Мы свяжемся с вами в ближайшее время,We will contact you shortly
259,formsText.titleError,Ошибка отправки сообщения (заголовок),Ошибка отправки сообщения,Error sending message
260,formsText.textError,Ошибка отправки сообщения текст (подзаголовок),Попробуйте позднее,Try later
8.5. Ссылки в форме,,,,#VALUE!
261,formsText.forgotText,Забыли пароль?,Забыли пароль?,Forgot your password?
262,formsText.allreadyText,Уже есть учетная запись,Уже есть учетная запись,Already have an account
9. Навигация,,,,#VALUE!
263,navText.index,Главная,Главная,home
264,navText.markets,Рынки,Рынки,markets
265,navText.about,О компании,О компании,About company
266,navText.contacts,Контакты,Контакты,Contacts
267,navText.forex,Валюты,Валюты,currency
268,navText.metals,Металлы,Металлы,metals
269,navText.stocks,Акции,Акции,shares
270,navText.commodities,Товары,Товары,Goods
271,navText.indices,Индексы,Индексы,indices
272,navText.crypto,Криптовалюты,Криптовалюты,cryptocurrency
273,navText.trading,Торговые условия,Торговые условия,trading conditions
274,navText.licenses,Аккредитация и лицензии,Аккредитации и лицензии,Accreditations and Licenses
275,formsText.checkboxAgreement,Пользовательское соглашение,Пользовательское соглашение,Terms of use
276,formsText.checkboxPolicy,Политика возврата средств,Политика возврата средств,Refund Policy
293,curLang,Текущий язык,Ru,
10. Кнопки,,,,#VALUE!
277,buttonText.login,Войти,Войти,To come in
278,buttonText.btnReg,Зарегистрироваться,Зарегистрироваться,Sign up
279,buttonText.enterFormButton,Войти в кабинет,Войти,To come in
280,buttonText.btnSend,Отправить,Отправить,to send
281,buttonText.btnStartTrade,Начать торговать,Начать торговать,start trading
282,buttonText.btnOpenAcc,Открыть счет,Открыть счет,Open an account
283,buttonText.btnCallback,Запросить звонок,Запросить звонок,request a call
284,buttonText.btnLearMore,Узнать больше,Узнать больше,To learn more
285,buttonText.btn404,Вернуться на главную,Вернуться на главную,Go back to the main page
286,buttonText.btnSupport,Техническая поддержка,Техническая поддержка,Technical support
287,buttonText.btnPartner,Стать партнером,Стать партнером,become a partner
11. Контакты,,,,#VALUE!
288,contactsHeaderText.title,Заголовок,"Круглосуточная, персональная поддержка пользователей","Hour, personalized user support"
289,contactsHeaderText.text,Подзаголовок,Запросите звонок и мы свяжемся с вами в ближайшее время.,Request a call and we will contact you shortly.
290,contactsListText.contact2,Наша почта,Наша почта,
291,contactsListText.contact3,Месторасположение,Месторасположение,
292,contactsListText.contact1,Международный номер,Международный номер,
12. Тайтлы,,,,#VALUE!
293,titles.index,index,Company Name - Получите финансовую независимость,Company Name - Get financial independence
294,titles.notFound,404,404 - Company Name - Получите финансовую независимость,404 - Company Name - Get financial independence
295,titles.licenses,licenses,Аккредитация и лицензии - Company Name - Получите финансовую независимость,
296,titles.reminder,reminder,Восстановление пароля - Company Name - Получите финансовую независимость,
297,titles.register,register,Регистрация - Company Name - Получите финансовую независимость,
298,titles.login,login,Вход - Company Name - Получите финансовую независимость,
299,titles.about,about,О компании - Company Name – зарабатывай просто!,
300,titles.contacts,contacts,"Контакты - Company Name - Круглосуточная, персональная поддержка пользователей",
301,titles.markets,markets,Свыше 200 финансовых инструментов для трейдинга из любой точки мира,
302,titles.commodities,commodities,Товары - Торговля сырьевыми товарами с Company Name,
303,titles.crypto,crypto,Криптовалюты - Торгуйте CFD на криптовалюту вместе Company Name,
304,titles.forex,forex,Валюты – самый устойчивый и перспективный рынок для инвестиций,
305,titles.indices,indices,Индексы - Станьте профи в торговле CFD на индексы,
306,titles.metals,metals,Металлы - Выгодная торговля CFD-контрактами на металлы,
307,titles.stocks,stocks,Акции - Котировки акций онлайн с Company Name,
308,titles.trading,trading,Торговые условия - Торговые счета Company Name,
